kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
56301,D,TEKNIK KOMPUTER,E,,A,
56401,E,TEKNIK KOMPUTER,E,,A,281
56501,F,TEKNIK KOMPUTER,E,,A,
56601,G,TEKNIK KOMPUTER,E,,A,
57101,B,SISTEM INFORMASI,E,,A,282
57201,C,SISTEM INFORMASI,E,,A,283
57301,D,MANAJEMEN INFORMATIKA,E,,S,284
57302,D,KOMPUTERISASI AKUNTANSI,E,,S,285
57401,E,MANAJEMEN INFORMATIKA,E,,S,286
57402,E,KOMPUTERISASI AKUNTANSI,E,,S,287
57501,F,MANAJEMEN INFORMATIKA,E,,S,
57502,F,KOMPUTERISASI AKUNTANSI,E,,S,
57601,G,MANAJEMEN INFORMATIKA,E,,S,
57602,G,KOMPUTERISASI AKUNTANSI,E,,S,
60001,A,ILMU EKONOMI,F,,S,288
60101,B,ILMU EKONOMI,F,,S,289
60201,C,EKONOMI PEMBANGUNAN,F,,S,290
61001,A,ILMU MANAJEMEN,F,,S,291
61101,B,MANAJEMEN,F,,S,292
61201,C,MANAJEMEN,F,,S,293
61304,D,MANAJEMEN PEMASARAN,F,,S,
61306,D,KEUANGAN DAN PERBANKAN,F,,S,
61307,D,MANAJEMEN ASET,F,,S,
61401,E,MANAJEMEN ADMINISTRASI,F,,S,294
61402,E,MANAJEMEN PERDAGANGAN,F,,S,295
61403,E,MANAJEMEN PERPAJAKAN,F,,S,296
61404,E,MANAJEMEN PEMASARAN,F,,S,297
61405,E,MANAJEMEN PERUSAHAAN,F,,S,298
61406,E,KEUANGAN DAN PERBANKAN,F,,S,299
61407,E,MANAJEMEN TRANSPORTASI LAUT,F,,S,
61408,E,MANAJEMEN TRANSPORTASI UDARA,F,,S,
61501,F,MANAJEMEN ADMINISTRASI,F,,S,
61504,F,MANAJEMEN PEMASARAN,F,,S,
61505,F,MANAJEMEN PERUSAHAAN,F,,S,
61506,F,KEUANGAN DAN PERBANKAN,F,,S,
61601,G,MANAJEMEN ADMINISTRASI,F,,S,
61602,G,MANAJEMEN PERDAGANGAN,F,,S,
61603,G,MANAJEMEN PERPAJAKAN,F,,S,
61604,G,MANAJEMEN PEMASARAN,F,,S,
61605,G,MANAJEMEN PERUSAHAAN,F,,S,
61606,G,KEUANGAN DAN PERBANKAN,F,,S,
62001,A,ILMU AKUNTANSI,F,,S,300
62101,B,AKUNTANSI,F,,S,301
62201,C,AKUNTANSI,F,,S,303
62301,D,AKUNTANSI,F,,S,
62401,E,AKUNTANSI,F,,S,304
62501,F,AKUNTANSI,F,,S,
62601,G,AKUNTANSI,F,,S,
62901,J,PROFESI AKUNTAN,F,,S,302
63001,A,ILMU ADMINISTRASI,G,,S,306
63101,B,ILMU ADMINISTRASI NEGARA,G,,S,307
63111,B,ILMU ADMINISTRASI NIAGA,G,,S,
63201,C,ILMU ADMINISTRASI NEGARA,G,,S,308
63211,C,ILMU ADMINISTRASI NIAGA,G,,S,309
63221,C,ILMU ADMINISTRASI PERPAJAKAN,G,,S,
63301,D,ADMINISTRASI NEGARA,G,,S,
63311,D,ADMINISTRASI BISNIS,G,,S,
63312,D,KESEKRETARIATAN,G,,S,
63401,E,ADMINISTRASI NEGARA,G,,S,310
63411,E,ADMINISTRASI BISNIS,G,,S,311
63412,E,SEKRETARI,G,,S,312
63413,E,ADMINISTRASI KEUANGAN,G,,S,
63414,E,ADMINISTRASI LOGISTIK,G,,S,
63421,E,ADMINISTRASI PERPAJAKAN,G,,S,
63501,F,ADMINISTRASI NEGARA,G,,S,
63511,F,ADMINISTRASI NIAGA,G,,S,
63512,F,KESEKRETARIATAN,G,,S,
